video_id,title,description,publishedAt,channelId,categoryId,tags,duration,dimension,definition,privacyStatus,publishAt,embeddable,viewCount,likeCount,dislikeCount,commentCount,thumbnailUrl,liveBroadcastContent,defaultLanguage,defaultAudioLanguage
vid_GFB_ribs_crowd_001,Backyard Smoked Ribs & Sides for a Crowd (Serves 15-20),"Complete crowd BBQ on a gas grill with smoker box. No charcoal needed.\n\nIngredient list (serves 15-20): St. Louis spare ribs 18 lb (3 full racks ~6 lb each), hickory wood chips 4 cups, apple cider vinegar 1 cup, yellow mustard 2 tbsp. Scratch dry rub: brown sugar 2 cups, kosher salt 4 tbsp, black pepper 3 tbsp, garlic powder 2 tbsp, onion powder 2 tbsp, smoked paprika 2 tbsp, cayenne 1 tsp. Finishing: BBQ sauce 2 bottles 18 oz. Sides: coleslaw mix 2 bags, cornbread mix 3 boxes, baked beans 2 cans 28 oz, mac and cheese 3 boxes, butter 2 sticks, heavy cream 1 pint, sharp cheddar 1 lb. NOTE: gas grill with smoker box method -- charcoal not required.\n\nCovers setup, dry rub application, modified smoking schedule, wrapping, sides prep, and plating for a crowd.\n\nEquipment: Gas grill (any 3-burner), smoker box, heavy duty foil, instant-read thermometer.\nThe Grillfather BBQ | @GrilfatherBBQ",2026-03-12T18:00:00Z,UC_GrilfatherBBQ,26,"bbq ribs crowd,smoked ribs gas grill,backyard cookout,St Louis ribs recipe,smoker box gas grill,Memorial Day BBQ,ribs for a crowd",PT48M22S,2d,hd,public,,true,184320,9871,41,1203,https://i.ytimg.com/vi/vid_GFB_ribs_crowd_001/maxresdefault.jpg,none,en,en
vid_GFB_pulled_pork_001,Pulled Pork Shoulder for a Party (Serves 20+): Gas Grill Smoker Box,"Low and slow pulled pork on a gas grill using a smoker box. Feeds a crowd with minimal fuss.\n\nIngredients: 8-10 lb pork shoulder (bone-in), apple wood chips, brown sugar rub, apple cider vinegar spritz, slider buns. Full list in description.\n\nThe Grillfather BBQ | @GrilfatherBBQ",2025-05-20T17:00:00Z,UC_GrilfatherBBQ,26,"pulled pork gas grill,pork shoulder smoker box,crowd BBQ,party pork recipe",PT52M14S,2d,hd,public,,true,97450,5234,18,742,https://i.ytimg.com/vi/vid_GFB_pulled_pork_001/maxresdefault.jpg,none,en,en
vid_GFB_brisket_flat_001,Flat Cut Brisket for Beginners: Gas Grill Method Step by Step,"Brisket doesn't have to be intimidating. Flat cut on a 3-burner gas grill with hickory smoker box.\n\nIngredients: 5-6 lb flat cut brisket, kosher salt, black pepper, garlic powder, hickory chips.\n\nThe Grillfather BBQ | @GrilfatherBBQ",2025-08-05T16:00:00Z,UC_GrilfatherBBQ,26,"brisket beginners,flat cut brisket,gas grill brisket,smoker box brisket",PT44M08S,2d,hd,public,,true,62180,3102,22,489,https://i.ytimg.com/vi/vid_GFB_brisket_flat_001/maxresdefault.jpg,none,en,en
vid_GFB_wings_game_001,Game Day Wings: 3 Sauces 1 Grill,"Crispy grilled wings with three from-scratch sauces: classic buffalo, honey garlic, and sweet heat.\n\nThe Grillfather BBQ | @GrilfatherBBQ",2025-09-05T20:00:00Z,UC_GrilfatherBBQ,26,"grilled wings,game day wings,buffalo wings,three sauce wings",PT28M55S,2d,hd,public,,true,143200,7810,29,918,https://i.ytimg.com/vi/vid_GFB_wings_game_001/maxresdefault.jpg,none,en,en
vid_pmu_smoker_basics_001,Getting Started with Backyard Smoking: Gas Grill Edition,"Everything a beginner needs to know to start smoking meat on a gas grill. Covers smoker boxes, wood chip types, temperature zones, and first cook tips.\n\nPit Master University | @PitMasterUniv",2023-06-10T14:00:00Z,UC_PitMasterUniv,26,"backyard smoking beginners,gas grill smoking,smoker box setup,wood chips guide",PT31M40S,2d,hd,public,,true,521000,28400,103,3211,https://i.ytimg.com/vi/vid_pmu_smoker_basics_001/maxresdefault.jpg,none,en,en
vid_pmu_charcoal_setup_001,How to Set Up a Charcoal Grill for Low and Slow Smoking,"Two-zone fire setup, snake method, minion method, and vent control for charcoal smoking.\n\nPit Master University | @PitMasterUniv",2024-02-14T15:00:00Z,UC_PitMasterUniv,26,"charcoal grill setup,low slow smoking,two zone fire,snake method charcoal",PT26M12S,2d,hd,public,,true,289000,14200,67,1840,https://i.ytimg.com/vi/vid_pmu_charcoal_setup_001/maxresdefault.jpg,none,en,en
vid_pmu_temp_guide_001,Internal Temp Guide for Pork Beef and Chicken: Never Guess Again,"The definitive internal temperature reference for backyard grillers. Covers pull temps, carryover cooking, and resting times for every common cut.\n\nPit Master University | @PitMasterUniv",2026-01-15T16:00:00Z,UC_PitMasterUniv,26,"internal temp meat,pork pull temp,brisket temperature,chicken safe temp,grilling guide",PT18M33S,2d,hd,public,,true,412000,21800,54,2640,https://i.ytimg.com/vi/vid_pmu_temp_guide_001/maxresdefault.jpg,none,en,en
vid_ss_brisket_lowslow_001,Texas Brisket from Scratch: 12 Hour Low and Slow,"Full packer brisket on a smoker over 12 hours. Salt and pepper only rub. No shortcuts.\n\nSmoked Sunday | @SmokedSunday",2023-08-20T17:00:00Z,UC_SmokedSunday,26,"texas brisket,full packer brisket,salt pepper brisket,12 hour brisket",PT1H2M18S,2d,hd,public,,true,738000,39200,184,4521,https://i.ytimg.com/vi/vid_ss_brisket_lowslow_001/maxresdefault.jpg,none,en,en
vid_ss_mac_smoked_001,Smoked Mac and Cheese That Actually Slaps,"Cast iron smoked mac and cheese on the grill. Béchamel base with sharp cheddar and gruyère. Perfect BBQ side.\n\nSmoked Sunday | @SmokedSunday",2024-05-15T19:00:00Z,UC_SmokedSunday,26,"smoked mac and cheese,bbq side dish,cast iron mac cheese,grilled mac cheese",PT22M04S,2d,hd,public,,true,194000,10400,38,1122,https://i.ytimg.com/vi/vid_ss_mac_smoked_001/maxresdefault.jpg,none,en,en
vid_gt_beer_can_chicken_001,Beer Can Chicken on the Gas Grill: Perfectly Juicy Every Time,"Simple technique for the juiciest grilled chicken you'll make. Works on any gas grill.\n\nGrill Time | @GrillTimeBBQ",2024-01-30T18:00:00Z,UC_GrillTime,26,"beer can chicken,grilled chicken juicy,gas grill chicken,vertical roast chicken",PT24M47S,2d,hd,public,,true,287000,15200,72,1890,https://i.ytimg.com/vi/vid_gt_beer_can_chicken_001/maxresdefault.jpg,none,en,en
