id,customer_id,location_id,line_items,total_amount,currency,state,created_at
ORD_WST01,CUST_W01,LOC_BOONDAEL,2x croissant;1x eclair,1480,EUR,COMPLETED,2026-10-07T16:40:00Z
ORD_WST02,CUST_W02,LOC_BOONDAEL,1x tarte tatin slice,640,EUR,COMPLETED,2026-10-07T16:55:00Z
ORD_WST03,CUST_W03,LOC_BOONDAEL,3x madeleine,1200,EUR,COMPLETED,2026-10-07T17:10:00Z
ORD_WST04,CUST_W04,LOC_BOONDAEL,1x celebration cake,2785,EUR,COMPLETED,2026-10-08T09:30:00Z
ORD_WST05,CUST_W05,LOC_BOONDAEL,2x financier;1x choux,950,EUR,COMPLETED,2026-10-08T09:45:00Z
ORD_WST06,CUST_W06,LOC_BOONDAEL,1x coffee,430,EUR,COMPLETED,2026-10-08T10:02:00Z
ORD_WST07,CUST_W07,LOC_BOONDAEL,1x box of six,1875,EUR,COMPLETED,2026-10-08T10:20:00Z
ORD_WST08,CUST_W08,LOC_BOONDAEL,2x pain au chocolat,560,EUR,COMPLETED,2026-10-08T10:35:00Z
ORD_WST09,CUST_W09,LOC_BOONDAEL,1x large platter,3320,EUR,COMPLETED,2026-10-08T11:00:00Z
ORD_WST10,CUST_W10,LOC_BOONDAEL,3x speculoos choux,720,EUR,COMPLETED,2026-10-08T11:15:00Z
