id,type,status,title,space_key,parent_id,version,body,created_by,created_at
pg_5g_filing_plan_v3,page,current,5G CBD Pilot - NCC Filing Plan v3,FCBD,,3,"Filing window: Mon Oct 5, 16:00 WAT (post-hearing). Per technical review v3.",b.olatunji@telecorpng.com,2026-09-25T11:00:00+01:00
pg_5g_tech_position_v3,page,current,5G CBD Pilot - Technical Justification v3,FCBD,,3,Technical position for the NCC hearing. Spectrum 3.5 GHz band lower portion - request for 100 MHz block. Site density justification - CBD coverage gap analysis. Public safety and EMF compliance attestation. Local content commitment per NCC framework. Vendor equipment certification status. Filing position must align with this technical review.,sheila.stokes@Finthesiss.ai,2026-09-22T15:00:00+01:00
pg_5g_project_charter,page,current,5G CBD Densification Pilot - Project Charter,FCBD,,2,Project ID PRJ-ABU-5G. Vendor: Tachyon Networks Nigeria Ltd. PO TCH-PO-2026-019. Equipment delivery deadline 2026-10-19. Target launch Q4 2026.,sheila.stokes@Finthesiss.ai,2026-04-01T10:00:00+01:00
pg_ncc_act_section_121,page,current,Nigerian Communications Act 2003 - Section 121 Extract,REG,,1,Section 121 extract on spectrum allocation and management. Reference material for NCC interactions.,f.musa@telecorpng.com,2026-08-12T09:00:00+01:00
pg_prior_hearing_transcripts,page,current,NCC Hearing Transcripts Archive 2024-2026,REG,,4,Archive of prior NCC hearing transcripts. Used for hearing prep precedent and tone calibration.,f.musa@telecorpng.com,2026-06-15T14:00:00+01:00
pg_form_7b_template,page,current,NCC Form 7B Spectrum Application Template,REG,,2,Standard NCC Form 7B template with annotations for spectrum applications.,f.musa@telecorpng.com,2026-08-20T16:00:00+01:00
pg_nasarawa_runbook,page,current,Nasarawa Phase 1 Deployment Runbook,ENG,,3,"End-to-end runbook for Phase 1 deployment. Site acquisition, environmental approval, vendor coordination, commissioning checklist.",i.okeke@telecorpng.com,2026-08-01T11:00:00+01:00
pg_community_engagement_playbook,page,current,Community Engagement Playbook,ENG,,2,"Playbook for community engagement during site acquisition. Traditional leader engagement, objection handling, LGA coordination.",c.ndukwe@telecorpng.com,2026-07-15T10:00:00+01:00
pg_5g_filing_plan_v3_history,page,archived,5G CBD Pilot - NCC Filing Plan v2 (superseded),FCBD,,2,Earlier filing plan. Superseded by v3.,b.olatunji@telecorpng.com,2026-08-30T14:00:00+01:00
pg_design_standards,page,current,Network Design Standards - North-Central Region,ENG,,5,"Coverage planning, capacity modeling, and site acquisition standards for the North-Central region.",sheila.stokes@Finthesiss.ai,2026-05-10T09:00:00+01:00
