ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1789978233.744153,C002,U001,Filing plan v3 published to Confluence.,,0,
1790014766.499819,C008,U002,3GPP Release 18 features - capacity planning implications.,,0,
1790045597.396919,C007,U011,agreed,,0,
1790053847.910402,C004,U006,lets sync offline,,0,
1790061380.238728,C009,U011,Open req: RF engineer (senior). Pipeline of 4 candidates.,,0,
1790064473.542709,C007,U002,circling back,,0,
1790086057.457922,C007,U002,noted,,0,
1790113238.670972,C002,U001,lets sync offline,,0,
1790116897.535000,C004,U006,see jira,,0,
1790124587.204914,C003,U011,lets sync offline,,0,
1790125293.982130,C005,U001,👍,,0,
1790134497.533510,C003,U011,noted,,0,
1790135218.898281,C005,U001,ok,,0,
1790143497.875713,C006,U005,ok,,0,
1790154398.097043,C003,U001,see Confluence,,0,
1790163269.450235,C003,U006,👍,,0,
1790164180.840672,C004,U009,see jira,,0,
1790173166.914488,C002,U008,got it,,0,
1790178320.725649,C007,U007,lets sync offline,,0,
1790183499.116874,C002,U006,Niger QoS dashboard refreshed. 12 hotspots tracked.,,0,
1790188524.992807,C007,U002,circling back,,0,
1790195709.851678,C001,U006,circling back,,0,
1790208932.848364,C009,U002,got it,,0,
1790213659.107214,C002,U008,more later,,0,
1790219203.955379,C003,U001,see jira,,0,
1790229411.425170,C002,U006,lets sync offline,,0,
1790230512.024202,C004,U010,"TCH-PO-2026-019 weekly status: 12 delivered, 21 warehouse, 18 transit, 27 shipped, 2 pending.",,0,
1790231669.647902,C002,U009,5G NR acceptance test plan v3 in jira FCBD-101 - review please.,,0,
1790246560.487021,C002,U009,got it,,0,
1790254747.215502,C004,U006,circling back,,0,
1790257812.107435,C002,U002,+1,,0,
1790258524.019748,C003,U001,got it,,0,
1790278263.326117,C002,U009,see Confluence,,0,
1790280060.060523,C005,U010,noted,,0,
1790281158.352056,C005,U010,ack,,0,
1790281350.147883,C008,U001,ok,,0,
1790288760.740824,C003,U006,+1,,0,
1790300738.594657,C003,U011,see jira,,0,
1790316210.534572,C002,U005,lets sync offline,,0,
1790336998.672791,C002,U003,agreed,,0,
1790338876.974802,C004,U010,👍,,0,
1790339512.304980,C006,U006,see Confluence,,0,
1790348274.233006,C004,U010,Quote TCH-EXP-2026-0017 for customs expedite went to Sheila.,,0,
1790358689.299998,C002,U001,agreed,,0,
1790360168.303673,C002,U009,more later,,0,
