id,name,known_for_department,gender,popularity
p_gen_nnaji,Genevieve Nnaji,Directing,F,24.0
p_funke_akindele,Funke Akindele,Acting,F,32.0
p_kunle_afolayan,Kunle Afolayan,Directing,M,19.0
p_jade_osiberu,Jade Osiberu,Directing,F,16.0
p_kayode_kasum,Kayode Kasum,Directing,M,14.0
p_ramsey_nouah,Ramsey Nouah,Acting,M,22.0
p_o_o_okonkwo,Omoni Oboli,Acting,F,18.0
p_chimezie_imo,Chimezie Imo,Acting,M,12.0
p_taraji_p_hen,Taraji P. Henson,Acting,F,38.0
p_octavia_spencer,Octavia Spencer,Acting,F,28.0
p_pixar_dir,Pete Docter,Directing,M,22.0
p_kal_penn,Kal Penn,Acting,M,14.0
p_lupita_n,Lupita Nyong'o,Acting,F,42.0
p_florence_o,Florence Oboli,Acting,F,11.0
