ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1757003600.000101,C0NCENTRAL,U0101,"morning all, standup in 10",,1,+1
1757007200.000102,C0NCENTRAL,U0102,Niger congestion numbers are in the sheet,1757003600.000101,2,
1757010800.000103,C0SOCIAL,U0103,anyone have the Lafia community contact?,,0,
1757014400.000104,C0NCENTRAL,U0104,PMO wants the tracker updated before review,,1,eyes
1757018000.000105,C0NCENTRAL,U0105,field team heading to Minna tomorrow,1757014400.000104,2,
1757021600.000106,C0SOCIAL,U0106,nice work on the capacity plan,,0,thumbsup
1757025200.000107,C0SOCIAL,U0107,"reminder: gym buddies, 6am tomorrow",,1,
1757028800.000108,C0NCENTRAL,U0108,who booked the room for the QoS review?,,2,
1757032400.000109,C0SOCIAL,U0109,"coffee run, anyone?",,0,
1757036000.000110,C0NCENTRAL,U0110,"graduate engineers starting Monday, say hi",,1,wave
