id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
lissue_0118,NRFW-118,118,BBU-7600 cold-start firmware crash,"Customer (TelcoNG NetPlan, Abuja CBD pilot) reports cold-start crash on BBU-7600 baseband. Reproduced in lab. Patch in QA, targeting Oct 16 GA. Linked TelcoNG jira FCBD-118.",1,,wfs_in_qa,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_5,"lbl_firmware,lbl_baseband,lbl_priority_high,lbl_customer_abuja",2026-10-16,118,fix/nrfw-118,2026-09-26T11:00:00Z,2026-10-03T18:00:00Z,2026-09-26T11:00:00Z,,
lissue_0124,NRFW-124,124,64TR radio unit antenna calibration drift after thermal cycle,Calibration drift observed after thermal cycle on 64TR radio unit. Customer requesting post-install soak test mitigation. On backlog for next sprint.,2,,wfs_backlog,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_6,"lbl_radio,lbl_thermal,lbl_calibration,lbl_customer_abuja",2026-11-15,124,fix/nrfw-124,2026-09-22T14:00:00Z,2026-09-30T15:00:00Z,,,
lissue_0127,NRFW-127,127,Logistics queue - manifest items pending broker disposition,A small subset of recent manifest items are sitting with the broker. Internal coordination only - customer-side decisions live in the customer channel.,3,,wfs_triage,luser_ola,team_5g,lprj_abu_cbd,cyc_5,"lbl_customs,lbl_customer_abuja",2026-10-08,127,fix/nrfw-127,2026-10-04T03:30:00Z,2026-10-04T03:30:00Z,,,
lissue_0091,NRFW-91,91,BBU-7600 power supply sequencing regression,Historical NRFW-91: BBU-7600 power supply sequencing regression.,2,,wfs_done,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_3,"lbl_baseband,lbl_firmware",2026-09-10,91,fix/nrfw-91,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0092,NRFW-92,92,64TR radio MIMO matrix initialization bug,Historical NRFW-92: 64TR radio MIMO matrix initialization bug.,2,,wfs_done,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_2,"lbl_radio,lbl_firmware",2026-08-25,92,fix/nrfw-92,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0093,NRFW-93,93,Acceptance test plan v1 review,Historical NRFW-93: Acceptance test plan v1 review.,2,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_1,"lbl_test,lbl_documentation",2026-08-10,93,fix/nrfw-93,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0094,NRFW-94,94,Acceptance test plan v2 review,Historical NRFW-94: Acceptance test plan v2 review.,4,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_2,"lbl_test,lbl_documentation",2026-08-22,94,fix/nrfw-94,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0095,NRFW-95,95,EMF compliance documentation gap,Historical NRFW-95: EMF compliance documentation gap.,4,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_3,"lbl_documentation,lbl_customer_abuja",2026-09-08,95,fix/nrfw-95,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0096,NRFW-96,96,Antenna mounting bracket spec ambiguity,Historical NRFW-96: Antenna mounting bracket spec ambiguity.,2,,wfs_done,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_3,"lbl_radio,lbl_documentation",2026-09-12,96,fix/nrfw-96,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0097,NRFW-97,97,BBU-7600 firmware patch sequencing tooling,Historical NRFW-97: BBU-7600 firmware patch sequencing tooling.,2,,wfs_done,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_4,"lbl_baseband,lbl_firmware",2026-09-22,97,fix/nrfw-97,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0098,NRFW-98,98,64TR radio thermal envelope clarification,Historical NRFW-98: 64TR radio thermal envelope clarification.,3,,wfs_done,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_4,"lbl_radio,lbl_thermal",2026-09-25,98,fix/nrfw-98,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0099,NRFW-99,99,Acceptance test plan v3 review pass 1,Historical NRFW-99: Acceptance test plan v3 review pass 1.,4,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_4,"lbl_test,lbl_documentation,lbl_customer_abuja",2026-09-28,99,fix/nrfw-99,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0100,NRFW-100,100,DHL tracking integration request,Historical NRFW-100: DHL tracking integration request.,3,,wfs_cancelled,luser_ola,team_5g,lprj_abu_cbd,cyc_3,lbl_customs,2026-09-15,100,fix/nrfw-100,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,,
lissue_0101,NRFW-101,101,Antenna calibration soak test methodology,Historical NRFW-101: Antenna calibration soak test methodology.,2,,wfs_in_qa,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_5,"lbl_radio,lbl_calibration,lbl_test",2026-10-12,101,fix/nrfw-101,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,,
