id,name,rating,price,category,category_title,latitude,longitude,city,state,address,phone,review_count,is_closed,image_url
biz_yard_park,Yard Park Maitama,4.4,NGN NGN,"cat_continental,cat_restaurants","Continental, casual outdoor seating",9.0723,7.4915,Abuja,FCT,"Yard Park, Maitama",+234 9 555 4011,142,false,https://img.example-yelp.com/yard.jpg
biz_sahad_stores,Sahad Stores Wuse,4.2,NGN,cat_grocery,Mid-range grocery chain,9.0658,7.4862,Abuja,FCT,"Plot 51 Sahad Stores Building, Wuse 2",+234 9 555 4022,318,false,https://img.example-yelp.com/sahad.jpg
biz_dunes_centre,Dunes Centre Cafe,4.3,NGN NGN,"cat_coffee,cat_continental",Cafe and continental lunch spot,9.0782,7.494,Abuja,FCT,"Aminu Kano Crescent, Wuse 2",+234 9 555 4033,188,false,https://img.example-yelp.com/dunes.jpg
biz_blu_cabana,Blu Cabana Maitama,4.5,NGN NGN NGN,"cat_continental,cat_italian",Date-night Italian and continental,9.081,7.487,Abuja,FCT,"12 IBB Way, Maitama",+234 9 555 4044,230,false,https://img.example-yelp.com/blu.jpg
biz_bukka_hut,Bukka Hut Wuse,4.0,NGN,cat_nigerian_food,Quick Nigerian local,9.0644,7.4892,Abuja,FCT,Wuse Zone 5,+234 9 555 4055,412,false,https://img.example-yelp.com/bukka.jpg
biz_chocolate_room,The Chocolate Room Abuja,4.4,NGN NGN,"cat_continental,cat_coffee","Dessert, coffee, light meals",9.0728,7.4861,Abuja,FCT,"Banex Plaza, Wuse",+234 9 555 4066,195,false,https://img.example-yelp.com/choc.jpg
biz_dome_indian,The Dome Indian Maitama,4.6,NGN NGN NGN,cat_indian,"Upscale Indian, family-friendly",9.0833,7.4937,Abuja,FCT,"Ladi Kwali Street, Maitama",+234 9 555 4077,168,false,https://img.example-yelp.com/dome.jpg
biz_sherif_lebanese,Sherif Lebanese Cuisine,4.3,NGN NGN,"cat_lebanese,cat_continental",Lebanese mezze and grill,9.0689,7.4798,Abuja,FCT,"Off Aminu Kano Crescent, Wuse 2",+234 9 555 4088,124,false,https://img.example-yelp.com/sherif.jpg
biz_paddington,Paddington Bistro,4.2,NGN NGN,cat_continental,Brunch and lunch bistro,9.0801,7.4863,Abuja,FCT,Maitama Central,+234 9 555 4099,102,false,https://img.example-yelp.com/padd.jpg
biz_jevinik,Jevinik Maitama,4.1,NGN NGN,"cat_nigerian_food,cat_african_food",Igbo and pan-Nigerian cuisine,9.0816,7.4881,Abuja,FCT,"27 Aguiyi Ironsi Street, Maitama",+234 9 555 4110,280,false,https://img.example-yelp.com/jevinik.jpg
biz_tilapia_grill,Tilapia Grill Wuse,4.4,NGN NGN,cat_african_food,Grilled fish and barbecue,9.0612,7.4847,Abuja,FCT,"Aminu Kano Crescent, Wuse",+234 9 555 4121,142,false,https://img.example-yelp.com/tilapia.jpg
biz_circle_mall_cof,Circle Mall Coffee Lagos,4.2,NGN NGN,cat_coffee,Coffee and pastries near Lekki,6.4474,3.4762,Lagos,LA,"Circle Mall Jakande, Lekki",+234 1 555 0011,312,false,https://img.example-yelp.com/circle.jpg
biz_terra_lagos,Terra Kulture Lagos,4.6,NGN NGN,"cat_african_food,cat_books",Cultural centre with restaurant,6.4304,3.4198,Lagos,LA,"Tiamiyu Savage Street, Victoria Island",+234 1 555 0022,480,false,https://img.example-yelp.com/terra.jpg
biz_ikeja_glover,Glover Court Suya,4.4,NGN,cat_african_food,Suya spot on Glover Court,6.5908,3.3424,Lagos,LA,"Glover Court, Ikoyi",+234 1 555 0033,612,false,https://img.example-yelp.com/glover.jpg
biz_sunrise_med_la,Sunrise Medical Lagos,4.5,NGN NGN NGN,cat_pharmacy,"Clinic and pharmacy, walk-in window",6.4972,3.3499,Lagos,LA,"28 Bode Thomas Street, Surulere",+234 1 555 0044,82,false,https://img.example-yelp.com/premier.jpg
biz_maitama_pharm,Maitama Family Pharmacy,4.3,NGN NGN,cat_pharmacy,Family pharmacy with delivery,9.0818,7.4892,Abuja,FCT,"Plot 7 IBB Way, Maitama",+234 9 555 4132,92,false,https://img.example-yelp.com/pharm.jpg
biz_book_kiosk,Book Kiosk Wuse,4.5,NGN NGN,cat_books,Curated bookstore for Nigerian fiction,9.0701,7.4881,Abuja,FCT,Aminu Kano Crescent,+234 9 555 4143,64,false,https://img.example-yelp.com/book.jpg
biz_maitama_fitness,Maitama Fitness Centre,4.4,NGN NGN NGN,cat_gym,Full-service gym with yoga studio,9.0823,7.4901,Abuja,FCT,"Plot 12 IBB Way, Maitama",+234 9 555 4154,188,false,https://img.example-yelp.com/gym.jpg
biz_bread_factory,Bread Factory Maitama,4.2,NGN,cat_bakery,Artisan bakery and continental,9.0795,7.4839,Abuja,FCT,off Aguiyi Ironsi Street,+234 9 555 4165,122,false,https://img.example-yelp.com/bread.jpg
biz_cilantro_caf,Cilantro Cafe Lagos,4.3,NGN NGN,"cat_continental,cat_coffee",Continental brunch in Lekki,6.438,3.4709,Lagos,LA,"Admiralty Way, Lekki",+234 1 555 0055,240,false,https://img.example-yelp.com/cilantro.jpg
