id,organization_id,name,summary,status,start_utc,end_utc,timezone,venue_id,capacity,is_free,online_event,url,created
evt-comtech-2026,org-comtech-summit,ComTech Summit 2026 Lagos,Annual telecommunications and technology summit. Panels on 5G deployment in West Africa rural connectivity and spectrum policy.,live,2026-12-01T08:00:00Z,2026-12-01T17:00:00Z,Africa/Lagos,venue-eko-hotels,800,false,false,https://eventbrite.example.com/e/comtech-2026,2026-06-15T10:00:00Z
evt-wtn-october-2026,org-women-telecom-ng,Women in Telecom Nigeria October Meetup,Monthly meetup focused on technical leadership and career progression for women engineers in telecommunications.,live,2026-10-18T17:00:00Z,2026-10-18T20:00:00Z,Africa/Lagos,venue-hilton-abuja,150,false,false,https://eventbrite.example.com/e/wtn-october-2026,2026-08-01T10:00:00Z
evt-ncc-stakeholder-q4,org-ncc-events,NCC Q4 Stakeholder Forum,Quarterly stakeholder forum on spectrum allocation and infrastructure policy.,live,2026-11-15T09:00:00Z,2026-11-15T16:00:00Z,Africa/Lagos,venue-sheraton-abuja,200,true,false,https://eventbrite.example.com/e/ncc-q4-2026,2026-08-20T10:00:00Z
evt-ieee-comsoc-webinar,org-ieee-comsoc-ng,IEEE ComSoc 5G Deployment Best Practices,Webinar on 5G deployment best practices in emerging markets.,live,2026-10-08T15:00:00Z,2026-10-08T16:30:00Z,UTC,venue-online,500,true,true,https://eventbrite.example.com/e/ieee-comsoc-5g-webinar,2026-08-10T10:00:00Z
evt-nape-agm-2026,org-nape-ng,NAPE Annual General Meeting 2026,Annual general meeting for the Nigerian Association of Professional Engineers.,live,2026-11-22T09:00:00Z,2026-11-22T17:00:00Z,Africa/Lagos,venue-civic-centre-lagos,400,false,false,https://eventbrite.example.com/e/nape-agm-2026,2026-07-01T10:00:00Z
evt-comtech-2025-archive,org-comtech-summit,ComTech Summit 2025 Lagos,Previous year ComTech Summit. Archive only.,ended,2025-12-02T08:00:00Z,2025-12-02T17:00:00Z,Africa/Lagos,venue-eko-hotels,750,false,false,https://eventbrite.example.com/e/comtech-2025,2025-06-15T10:00:00Z
evt-comtech-2025,org-comtech-summit,ComTech Summit 2025 Lagos,Previous year. Sheila attended as panel observer.,ended,2025-12-01T09:00:00Z,2025-12-01T17:00:00Z,Africa/Lagos,venue-eko-hotels,800,false,false,https://eventbrite.example.com/e/comtech-2025,2025-06-22T10:00:00Z
evt-3gpp-workshop-2026,org-ieee-comsoc-ng,3GPP TS 38 series engineering workshop,Engineering deep-dive on 38.213 and 38.214.,live,2026-11-12T09:00:00Z,2026-11-12T17:00:00Z,Africa/Lagos,venue-eko-hotels,200,false,false,https://eventbrite.example.com/e/3gpp-2026,2026-04-22T10:00:00Z
evt-wtn-mar-2026,org-women-telecom-ng,Women in Telecom Nigeria March meetup,International Women's Day session.,ended,2026-03-08T13:00:00Z,2026-03-08T17:00:00Z,Africa/Lagos,venue-hilton-abuja,150,false,false,https://eventbrite.example.com/e/wtn-mar-2026,2026-01-12T10:00:00Z
evt-wtn-sep-2026,org-women-telecom-ng,Women in Telecom Nigeria September meetup,"Monthly meetup, theme: technical leadership.",ended,2026-09-12T18:00:00Z,2026-09-12T20:00:00Z,Africa/Lagos,venue-hilton-abuja,150,false,false,https://eventbrite.example.com/e/wtn-sep-2026,2026-08-04T10:00:00Z
evt-nape-mar-2026,org-nape-ng,NAPE March quarterly seminar,Quarterly seminar on engineering registration updates.,ended,2026-03-22T09:00:00Z,2026-03-22T17:00:00Z,Africa/Lagos,venue-civic-centre-lagos,400,false,false,https://eventbrite.example.com/e/nape-mar-2026,2026-01-12T10:00:00Z
evt-rural-conn-2026,org-comtech-summit,Rural Connectivity Forum 2026,West African rural connectivity forum.,live,2026-10-22T09:00:00Z,2026-10-22T17:00:00Z,Africa/Lagos,venue-civic-centre-lagos,300,false,false,https://eventbrite.example.com/e/rural-2026,2026-06-22T10:00:00Z
evt-naija-bookclub-2026-10,org-nape-ng,Naija Book Club October pick discussion,Eloghosa Osunde monthly pick.,live,2026-10-26T17:00:00Z,2026-10-26T20:00:00Z,Africa/Lagos,venue-civic-centre-lagos,40,true,false,https://eventbrite.example.com/e/naija-bookclub-oct,2026-08-22T10:00:00Z
evt-aso-hikers-oct,org-nape-ng,Aso Rock Saturday Hikers October meet,Open community hike.,live,2026-10-25T05:30:00Z,2026-10-25T09:00:00Z,Africa/Lagos,venue-civic-centre-lagos,80,true,false,https://eventbrite.example.com/e/aso-october,2026-08-04T10:00:00Z
