id,media_id,user_id,username,text,timestamp,like_count,hidden,parent_id
ig_cmt_001,ig_med_011,ig_user_sheila,sheila_quiet_reader,Recap was so well written. Saved.,2026-09-12T19:18:00Z,8,false,
ig_cmt_002,ig_med_012,ig_user_sheila,sheila_quiet_reader,This is a great spotlight piece.,2026-09-04T07:45:00Z,14,false,
ig_cmt_003,ig_med_020,ig_user_sheila,sheila_quiet_reader,Going to share this with the team.,2026-09-22T20:11:00Z,11,false,
ig_cmt_004,ig_med_022,ig_user_sheila,sheila_quiet_reader,The Saturday schedule is exactly what we need.,2026-09-09T09:30:00Z,6,false,
ig_cmt_005,ig_med_035,ig_user_sheila,sheila_quiet_reader,Trough idea saved.,2026-09-11T18:42:00Z,4,false,
ig_cmt_006,ig_med_036,ig_user_sheila,sheila_quiet_reader,Herb wall is the plan for October.,2026-09-18T17:10:00Z,5,false,
ig_cmt_007,ig_med_031,ig_user_sheila,sheila_quiet_reader,Beautiful collection.,2026-09-12T08:05:00Z,9,false,
ig_cmt_008,ig_med_026,ig_user_sheila,sheila_quiet_reader,Confirmed for Year 5 slot.,2026-09-23T19:42:00Z,0,false,
ig_cmt_009,ig_med_034,ig_user_sheila,sheila_quiet_reader,Saved the snack tip.,2026-09-13T07:33:00Z,3,false,
ig_cmt_010,ig_med_037,ig_user_sheila,sheila_quiet_reader,Round up was a useful skim.,2026-09-05T07:12:00Z,2,false,
ig_cmt_011,ig_med_001,ig_user_sheila,sheila_quiet_reader,Bookmarked.,2026-09-04T08:18:00Z,12,false,
ig_cmt_012,ig_med_002,ig_user_sheila,sheila_quiet_reader,Reading Eloghosa right now.,2026-09-11T19:05:00Z,14,false,
