id,subject,description,status,priority,requester_id,responder_id,type,tags,created_at,updated_at
FD-TN-2026-089,Calibration variance on SC-CBD-012 measured drift,Field engineer reported a 0.4 dBm variance on SC-CBD-012 transmit power readings. Awaiting Tachyon investigation.,2,3,ct_tunde,agent_tachyon_bot,Problem,"calibration,SC-CBD-012",2026-08-15T09:00:00Z,2026-09-12T14:00:00Z
FD-TN-2026-090,Documentation gap on antenna kit AK-180 mounting,The mounting bracket spec for AK-180 antenna kit is incomplete in the runbook PDF.,2,4,ct_bayo,agent_tachyon_bot,Question,"documentation,AK-180",2026-08-22T11:00:00Z,2026-09-15T16:00:00Z
FD-TN-2026-091,Telemetry feed latency spike investigation,Telemetry feed showing 200ms+ latency spikes during peak hours on SC-CBD-015 through 019.,2,3,ct_chinedu,agent_tachyon_bot,Problem,"telemetry,SC-CBD",2026-09-01T13:00:00Z,2026-09-20T11:00:00Z
FD-TN-2026-092,Spare kit inventory query,Question about the spare kit composition in the original PO. Need confirmation on which sector controller models are in the 2 spare kits.,2,4,ct_sheila,agent_tachyon_bot,Question,"procurement,spare-kit",2026-09-10T15:00:00Z,2026-09-18T10:00:00Z
FD-TN-2026-093,Backhaul radio BR-22G commissioning checklist,Request for the BR-22G commissioning checklist for the additional 6 backhaul radios in MSA Addendum 003.,2,3,ct_kabiru,agent_tachyon_bot,Question,"BR-22G,MSA",2026-09-18T10:00:00Z,2026-09-22T14:00:00Z
FD-TN-2026-094,Cold-start firmware investigation on SC-CBD pilot,Field reports of cold-start crash behavior on a small number of cells. Pattern is 60 to 90 seconds after cold start the cell becomes unresponsive. Affected confirmed on SC-CBD-007. Reproducing with vendor. Baseline priority P2 pending vendor reproduction; review on Marcus next sync.,2,2,ct_sheila,agent_marcus,Problem,"SC-CBD-007,firmware,cold-start",2026-09-24T19:42:00Z,2026-09-29T18:00:00Z
FD-TN-2026-050,Routine documentation refresh Q1 walkthrough,Routine Q1 docs refresh handled by vendor with no follow up needed.,5,3,ct_sheila,agent_marcus,Question,Question,2026-02-02T00:00:00Z,2026-02-07T00:00:00Z
FD-TN-2026-055,Antenna kit AK-180 mounting hardware variant,Mounting hardware variant request resolved by vendor docs link.,5,3,ct_sheila,agent_marcus,Question,Question,2026-02-12T00:00:00Z,2026-02-17T00:00:00Z
FD-TN-2026-060,Sub-band masking refresh quarterly,Quarterly sub-band masking refresh request closed.,5,3,ct_sheila,agent_marcus,Question,Question,2026-03-04T00:00:00Z,2026-03-09T00:00:00Z
FD-TN-2026-065,Bench rig calibration drift Q1 followup,Calibration drift Q1 followup with bench rig.,5,3,ct_sheila,agent_marcus,Problem,Problem,2026-03-24T00:00:00Z,2026-03-29T00:00:00Z
FD-TN-2026-070,RAN OAM portal credentials renewal Q1,Routine credentials renewal request closed.,5,3,ct_sheila,agent_marcus,Question,Question,2026-04-08T00:00:00Z,2026-04-13T00:00:00Z
FD-TN-2026-071,Sub-band masking refresh April,April sub-band masking refresh request closed by vendor.,5,3,ct_sheila,agent_marcus,Question,Question,2026-04-15T00:00:00Z,2026-04-20T00:00:00Z
FD-TN-2026-072,Cold start build 4.6.x lab regression,Lab cold-start regression closed after build 4.6.x retirement.,5,3,ct_sheila,agent_marcus,Problem,Problem,2026-04-18T00:00:00Z,2026-04-23T00:00:00Z
FD-TN-2026-073,Sector controller SC-T700 spec sheet rev 2,Spec sheet rev 2 distributed.,5,3,ct_sheila,agent_marcus,Question,Question,2026-04-23T00:00:00Z,2026-04-28T00:00:00Z
FD-TN-2026-074,Backhaul radio BR-22G installation diagrams,Installation diagrams shared by vendor docs.,5,3,ct_sheila,agent_marcus,Question,Question,2026-05-01T00:00:00Z,2026-05-06T00:00:00Z
FD-TN-2026-075,Bench rig calibration drift Q2 followup,Q2 calibration drift followup. Vendor confirmed within tolerance.,5,3,ct_sheila,agent_marcus,Problem,Problem,2026-05-13T00:00:00Z,2026-05-18T00:00:00Z
FD-TN-2026-076,Spare kit composition clarification (rev 1),Spare kit composition clarification rev 1.,5,3,ct_sheila,agent_marcus,Question,Question,2026-05-18T00:00:00Z,2026-05-23T00:00:00Z
FD-TN-2026-077,Telemetry feed retention window question,Vendor confirmed 90-day telemetry retention.,5,3,ct_sheila,agent_marcus,Question,Question,2026-05-25T00:00:00Z,2026-05-30T00:00:00Z
FD-TN-2026-078,SDK 4.7.0 to 4.7.2 upgrade walkthrough,Upgrade walkthrough delivered by vendor.,5,3,ct_sheila,agent_marcus,Question,Question,2026-06-04T00:00:00Z,2026-06-09T00:00:00Z
FD-TN-2026-079,Antenna alignment drift policy harmonisation,Drift policy harmonisation closed.,5,3,ct_sheila,agent_marcus,Question,Question,2026-06-17T00:00:00Z,2026-06-22T00:00:00Z
FD-TN-2026-080,Bench thermal stress July walkthrough,Thermal stress July walkthrough closed with no anomalies.,5,3,ct_sheila,agent_marcus,Problem,Problem,2026-06-27T00:00:00Z,2026-07-02T00:00:00Z
FD-TN-2026-081,Acceptance harness telemetry export schema,Schema confirmed by vendor.,5,3,ct_sheila,agent_marcus,Question,Question,2026-07-04T00:00:00Z,2026-07-09T00:00:00Z
