playlist_id,name,description,owner_id,public,collaborative
pl_morning_commute,Morning Commute Abuja Drive,Drive playlist for the Maitama to office route. Mostly Afrobeats with a Tems detour for the slower stretches.,Sheila,false,false
pl_sunday_worship,Sunday Morning Worship,"Pre-church and family Sunday morning playlist. Gospel, worship, occasional Hillsong.",Sheila,false,false
pl_evening_focus,Evening Focus R&B,"Evening deep-work playlist when the children are in bed. Soul, neo-soul, low-tempo R&B.",Sheila,false,false
pl_lagos_road_trip,Lagos Family Road Trip,"Mixed playlist for the Lagos family drives. Children pick half the tracks, the rest is Afrobeats and Sade.",Sheila,false,true
pl_anniversary_dinner,Anniversary Dinner Quiet,"Quiet dinner playlist. Sade, Corinne Bailey Rae, Daniel Caesar. Saved for special restaurant evenings.",Sheila,false,false
pl_kids_safe,Kids Safe (Adunola and Olufemi),"Family plan kids profile. No explicit tracks. Afrobeats hits without strong language, gospel mixed in.",Sheila,false,true
pl_yoga_saturday,Saturday Yoga Wind Down,Saturday morning gentle yoga at home. Mostly instrumentals and slower vocals.,Sheila,false,false
pl_gym_three_times,Gym Three Times Weekly,Up-tempo gym set. Afrobeats and a few hip-hop crossovers. Refreshed monthly.,Sheila,false,false
pl_late_night_review,Late Night Brief Review,Low-tempo background for the late-night brief-reading hour. Sade and Corinne dominate.,Sheila,false,false
pl_dinner_party_quiet,Dinner Party Background,"Background for the occasional Saturday dinner party at home. Sade, Lauryn Hill, Daniel Caesar.",Sheila,false,false
pl_christmas_2025,Christmas 2025 Family,Annual Christmas playlist. Carols mixed with Nigerian gospel. Played 24 December through 1 January.,Sheila,false,true
pl_bookshelf_audiobk,Bookshelf Audiobook Companion,When she is reading on the verandah and wants soft instrumentals behind. Sade Lovers Rock anchor.,Sheila,false,false
