id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt-401,sheila.stokes@Finthesiss.ai,NCC spectrum allocation hearing - 5G CBD pilot,Present the revised interference-analysis summary. Hearing reference NCC/SPM/5G/2026/0173.,"NCC HQ, Abuja",2026-10-05T09:00:00+01:00,2026-10-05T11:00:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-402,sheila.stokes@Finthesiss.ai,5G CBD small-cell equipment delivery deadline,Committed delivery for Work Order WO-CBD-2026-0417 (Helios Telecom Equipment Ltd).,,2026-10-19T00:00:00+01:00,2026-10-19T23:59:00+01:00,true,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-410,sheila.stokes@Finthesiss.ai,Wedding anniversary dinner,Dinner with Adeyemi.,Maitama,2026-10-03T19:30:00+01:00,2026-10-03T21:30:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-411,sheila.stokes@Finthesiss.ai,Family trip to Lagos,Visit parents. 5-day stay.,Lagos,2026-10-24T07:00:00+01:00,2026-10-24T12:00:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-412,sheila.stokes@Finthesiss.ai,Nigeria ComTech Summit - presenting,Day 1 presentation.,Lagos,2026-12-01T09:00:00+01:00,2026-12-01T17:00:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-420,sheila.stokes@Finthesiss.ai,Team standup,"Weekly kickoff. Project status, blockers, priorities.",,2026-10-05T09:00:00+01:00,2026-10-05T09:30:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=MO,default
evt-421,sheila.stokes@Finthesiss.ai,Mentorship slot - Yetunde,Bi-weekly development check-in.,,2026-10-06T14:00:00+01:00,2026-10-06T15:00:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=TU,default
evt-422,sheila.stokes@Finthesiss.ai,Dinner with Funke,"Decompress, catch up. No work talk.",,2026-10-07T18:30:00+01:00,2026-10-07T20:30:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt-423,sheila.stokes@Finthesiss.ai,Parents call,Check on Daddy's health. Coordinate with Mummy.,,2026-10-08T20:00:00+01:00,2026-10-08T20:30:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=TH,default
evt-424,sheila.stokes@Finthesiss.ai,Week wrap-up,"Outstanding items, documentation, next week planning.",,2026-10-09T16:00:00+01:00,2026-10-09T16:45:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=FR,default
evt-425,sheila.stokes@Finthesiss.ai,Gym,Strength and treadmill.,Maitama fitness centre,2026-10-05T06:00:00+01:00,2026-10-05T07:00:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",default
evt-426,sheila.stokes@Finthesiss.ai,Church - Holy Trinity,Sunday service.,Maitama,2026-10-04T09:00:00+01:00,2026-10-04T11:00:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-427,sheila.stokes@Finthesiss.ai,Niger State QoS quarterly review,Review congestion analysis and upgrade plan.,,2026-10-08T11:00:00+01:00,2026-10-08T12:30:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-428,sheila.stokes@Finthesiss.ai,Adunola science showcase prep,Help with project.,Home,2026-10-10T10:00:00+01:00,2026-10-10T11:30:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,,default
evt-429,sheila.stokes@Finthesiss.ai,Financial review,"Savings transfer, investment contribution, school fees.",,2026-10-01T19:00:00+01:00,2026-10-01T19:30:00+01:00,false,confirmed,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,RRULE:FREQ=MONTHLY;BYMONTHDAY=1,default
