item_id,column_id,text,value
mitem_0001,col_owner,muser_001,"{""text"": ""muser_001""}"
mitem_0001,col_status,On Track,"{""text"": ""On Track""}"
mitem_0001,col_due,2026-10-09,"{""text"": ""2026-10-09""}"
mitem_0001,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0001,col_notes,Phase 1 completion target - 15 sites live by milestone date. Owner: Sheila. Status review at Fri week wrap.,"{""text"": ""Phase 1 completion target - 15 sites live by milestone date. Owner: Sheila. Status review at Fri week wrap.""}"
mitem_0002,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0002,col_status,At Risk,"{""text"": ""At Risk""}"
mitem_0002,col_due,2026-10-08,"{""text"": ""2026-10-08""}"
mitem_0002,col_risk,High,"{""text"": ""High""}"
mitem_0002,col_notes,3 sites in Lafia LGA need extended community consultation.,"{""text"": ""3 sites in Lafia LGA need extended community consultation.""}"
mitem_0003,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0003,col_status,Done,"{""text"": ""Done""}"
mitem_0003,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0003,col_risk,Low,"{""text"": ""Low""}"
mitem_0003,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0004,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0004,col_status,Done,"{""text"": ""Done""}"
mitem_0004,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0004,col_risk,Low,"{""text"": ""Low""}"
mitem_0004,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0005,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0005,col_status,Blocked,"{""text"": ""Blocked""}"
mitem_0005,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0005,col_risk,High,"{""text"": ""High""}"
mitem_0005,col_notes,Community objection - lead Chief Musa Adamu.,"{""text"": ""Community objection - lead Chief Musa Adamu.""}"
mitem_0006,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0006,col_status,Done,"{""text"": ""Done""}"
mitem_0006,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0006,col_risk,Low,"{""text"": ""Low""}"
mitem_0006,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0007,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0007,col_status,Done,"{""text"": ""Done""}"
mitem_0007,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0007,col_risk,Low,"{""text"": ""Low""}"
mitem_0007,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0008,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0008,col_status,In Progress,"{""text"": ""In Progress""}"
mitem_0008,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0008,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0008,col_notes,Negotiation in progress.,"{""text"": ""Negotiation in progress.""}"
mitem_0009,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0009,col_status,In Progress,"{""text"": ""In Progress""}"
mitem_0009,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0009,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0009,col_notes,Negotiation in progress.,"{""text"": ""Negotiation in progress.""}"
mitem_0010,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0010,col_status,Blocked,"{""text"": ""Blocked""}"
mitem_0010,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0010,col_risk,High,"{""text"": ""High""}"
mitem_0010,col_notes,Community objection - lead Mrs. Patience Yakubu.,"{""text"": ""Community objection - lead Mrs. Patience Yakubu.""}"
mitem_0011,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0011,col_status,Done,"{""text"": ""Done""}"
mitem_0011,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0011,col_risk,Low,"{""text"": ""Low""}"
mitem_0011,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0012,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0012,col_status,In Progress,"{""text"": ""In Progress""}"
mitem_0012,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0012,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0012,col_notes,Negotiation in progress.,"{""text"": ""Negotiation in progress.""}"
mitem_0013,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0013,col_status,Blocked,"{""text"": ""Blocked""}"
mitem_0013,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0013,col_risk,High,"{""text"": ""High""}"
mitem_0013,col_notes,Community objection - lead Pastor Daniel Ogbu.,"{""text"": ""Community objection - lead Pastor Daniel Ogbu.""}"
mitem_0014,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0014,col_status,Done,"{""text"": ""Done""}"
mitem_0014,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0014,col_risk,Low,"{""text"": ""Low""}"
mitem_0014,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0015,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0015,col_status,Done,"{""text"": ""Done""}"
mitem_0015,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0015,col_risk,Low,"{""text"": ""Low""}"
mitem_0015,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0016,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0016,col_status,Blocked,"{""text"": ""Blocked""}"
mitem_0016,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0016,col_risk,High,"{""text"": ""High""}"
mitem_0016,col_notes,Community objection - lead Alhaji Sadiq Ibrahim.,"{""text"": ""Community objection - lead Alhaji Sadiq Ibrahim.""}"
mitem_0017,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0017,col_status,Blocked,"{""text"": ""Blocked""}"
mitem_0017,col_due,2026-09-30,"{""text"": ""2026-09-30""}"
mitem_0017,col_risk,High,"{""text"": ""High""}"
mitem_0017,col_notes,Community objection - lead Chief Patrick Audu.,"{""text"": ""Community objection - lead Chief Patrick Audu.""}"
mitem_0018,col_owner,muser_008,"{""text"": ""muser_008""}"
mitem_0018,col_status,Open,"{""text"": ""Open""}"
mitem_0018,col_due,2026-10-12,"{""text"": ""2026-10-12""}"
mitem_0018,col_risk,High,"{""text"": ""High""}"
mitem_0018,col_notes,Community lead: Chief Musa Adamu.,"{""text"": ""Community lead: Chief Musa Adamu.""}"
mitem_0019,col_owner,muser_008,"{""text"": ""muser_008""}"
mitem_0019,col_status,Open,"{""text"": ""Open""}"
mitem_0019,col_due,2026-10-12,"{""text"": ""2026-10-12""}"
mitem_0019,col_risk,High,"{""text"": ""High""}"
mitem_0019,col_notes,Community lead: Mrs. Patience Yakubu.,"{""text"": ""Community lead: Mrs. Patience Yakubu.""}"
mitem_0020,col_owner,muser_008,"{""text"": ""muser_008""}"
mitem_0020,col_status,Open,"{""text"": ""Open""}"
mitem_0020,col_due,2026-10-12,"{""text"": ""2026-10-12""}"
mitem_0020,col_risk,High,"{""text"": ""High""}"
mitem_0020,col_notes,Community lead: Pastor Daniel Ogbu.,"{""text"": ""Community lead: Pastor Daniel Ogbu.""}"
mitem_0021,col_owner,muser_008,"{""text"": ""muser_008""}"
mitem_0021,col_status,Open,"{""text"": ""Open""}"
mitem_0021,col_due,2026-10-12,"{""text"": ""2026-10-12""}"
mitem_0021,col_risk,High,"{""text"": ""High""}"
mitem_0021,col_notes,Community lead: Alhaji Sadiq Ibrahim.,"{""text"": ""Community lead: Alhaji Sadiq Ibrahim.""}"
mitem_0022,col_owner,muser_008,"{""text"": ""muser_008""}"
mitem_0022,col_status,Open,"{""text"": ""Open""}"
mitem_0022,col_due,2026-10-12,"{""text"": ""2026-10-12""}"
mitem_0022,col_risk,High,"{""text"": ""High""}"
mitem_0022,col_notes,Community lead: Chief Patrick Audu.,"{""text"": ""Community lead: Chief Patrick Audu.""}"
mitem_0023,col_owner,muser_008,"{""text"": ""muser_008""}"
mitem_0023,col_status,Open,"{""text"": ""Open""}"
mitem_0023,col_due,2026-10-12,"{""text"": ""2026-10-12""}"
mitem_0023,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0023,col_notes,Community lead: Chief of Ningo.,"{""text"": ""Community lead: Chief of Ningo.""}"
mitem_0024,col_owner,muser_001,"{""text"": ""muser_001""}"
mitem_0024,col_status_p2,On Track,"{""text"": ""On Track""}"
mitem_0024,col_due_p2,2026-12-11,"{""text"": ""2026-12-11""}"
mitem_0024,col_risk,Low,"{""text"": ""Low""}"
mitem_0024,col_notes,Phase 2 completion target Dec 11 per persona memory.,"{""text"": ""Phase 2 completion target Dec 11 per persona memory.""}"
mitem_0025,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0025,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0025,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0025,col_risk,Low,"{""text"": ""Low""}"
mitem_0025,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0026,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0026,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0026,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0026,col_risk,Low,"{""text"": ""Low""}"
mitem_0026,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0027,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0027,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0027,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0027,col_risk,Low,"{""text"": ""Low""}"
mitem_0027,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0028,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0028,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0028,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0028,col_risk,Low,"{""text"": ""Low""}"
mitem_0028,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0029,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0029,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0029,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0029,col_risk,Low,"{""text"": ""Low""}"
mitem_0029,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0030,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0030,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0030,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0030,col_risk,Low,"{""text"": ""Low""}"
mitem_0030,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0031,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0031,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0031,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0031,col_risk,Low,"{""text"": ""Low""}"
mitem_0031,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0032,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0032,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0032,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0032,col_risk,Low,"{""text"": ""Low""}"
mitem_0032,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0033,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0033,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0033,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0033,col_risk,Low,"{""text"": ""Low""}"
mitem_0033,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0034,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0034,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0034,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0034,col_risk,Low,"{""text"": ""Low""}"
mitem_0034,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0035,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0035,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0035,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0035,col_risk,Low,"{""text"": ""Low""}"
mitem_0035,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0036,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0036,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0036,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0036,col_risk,Low,"{""text"": ""Low""}"
mitem_0036,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0037,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0037,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0037,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0037,col_risk,Low,"{""text"": ""Low""}"
mitem_0037,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0038,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0038,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0038,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0038,col_risk,Low,"{""text"": ""Low""}"
mitem_0038,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0039,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0039,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0039,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0039,col_risk,Low,"{""text"": ""Low""}"
mitem_0039,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0040,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0040,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0040,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0040,col_risk,Low,"{""text"": ""Low""}"
mitem_0040,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0041,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0041,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0041,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0041,col_risk,Low,"{""text"": ""Low""}"
mitem_0041,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0042,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0042,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0042,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0042,col_risk,Low,"{""text"": ""Low""}"
mitem_0042,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0043,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0043,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0043,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0043,col_risk,Low,"{""text"": ""Low""}"
mitem_0043,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0044,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0044,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0044,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0044,col_risk,Low,"{""text"": ""Low""}"
mitem_0044,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0045,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0045,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0045,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0045,col_risk,Low,"{""text"": ""Low""}"
mitem_0045,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0046,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0046,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0046,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0046,col_risk,Low,"{""text"": ""Low""}"
mitem_0046,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0047,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0047,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0047,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0047,col_risk,Low,"{""text"": ""Low""}"
mitem_0047,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0048,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0048,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0048,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0048,col_risk,Low,"{""text"": ""Low""}"
mitem_0048,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0049,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0049,col_status_p2,Done,"{""text"": ""Done""}"
mitem_0049,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0049,col_risk,Low,"{""text"": ""Low""}"
mitem_0049,col_notes,Acquisition closed.,"{""text"": ""Acquisition closed.""}"
mitem_0050,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0050,col_status_p2,In Progress,"{""text"": ""In Progress""}"
mitem_0050,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0050,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0050,col_notes,Vendor permitting pending.,"{""text"": ""Vendor permitting pending.""}"
mitem_0051,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0051,col_status_p2,In Progress,"{""text"": ""In Progress""}"
mitem_0051,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0051,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0051,col_notes,Vendor permitting pending.,"{""text"": ""Vendor permitting pending.""}"
mitem_0052,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0052,col_status_p2,In Progress,"{""text"": ""In Progress""}"
mitem_0052,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0052,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0052,col_notes,Vendor permitting pending.,"{""text"": ""Vendor permitting pending.""}"
mitem_0053,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0053,col_status_p2,In Progress,"{""text"": ""In Progress""}"
mitem_0053,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0053,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0053,col_notes,Vendor permitting pending.,"{""text"": ""Vendor permitting pending.""}"
mitem_0054,col_owner,muser_004,"{""text"": ""muser_004""}"
mitem_0054,col_status_p2,In Progress,"{""text"": ""In Progress""}"
mitem_0054,col_due_p2,2026-11-15,"{""text"": ""2026-11-15""}"
mitem_0054,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0054,col_notes,Vendor permitting pending.,"{""text"": ""Vendor permitting pending.""}"
mitem_0055,col_owner,muser_001,"{""text"": ""muser_001""}"
mitem_0055,col_status_5g,On Track,"{""text"": ""On Track""}"
mitem_0055,col_due_5g,2026-10-05,"{""text"": ""2026-10-05""}"
mitem_0055,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0055,col_notes,NCC HQ 10:00 - Sheila presenting,"{""text"": ""NCC HQ 10:00 - Sheila presenting""}"
mitem_0056,col_owner,muser_001,"{""text"": ""muser_001""}"
mitem_0056,col_status_5g,On Track,"{""text"": ""On Track""}"
mitem_0056,col_due_5g,2026-10-05,"{""text"": ""2026-10-05""}"
mitem_0056,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0056,col_notes,Filing window per engineering wiki Filing Plan v3,"{""text"": ""Filing window per engineering wiki Filing Plan v3""}"
mitem_0057,col_owner,muser_009,"{""text"": ""muser_009""}"
mitem_0057,col_status_5g,In Progress,"{""text"": ""In Progress""}"
mitem_0057,col_due_5g,2026-10-15,"{""text"": ""2026-10-15""}"
mitem_0057,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0057,col_notes,Tunde Bello lead,"{""text"": ""Tunde Bello lead""}"
mitem_0058,col_owner,muser_005,"{""text"": ""muser_005""}"
mitem_0058,col_status_5g,In Progress,"{""text"": ""In Progress""}"
