id,key,project_key,issue_type,summary,description,status,priority,assignee,reporter,sprint_id,story_points,created,updated
jissue_0001,FCBD-101,FCBD,Story,5G NR Massive MIMO radio acceptance test plan,Acceptance test plan v3 for the 64TR radio unit and BBU-7600. EMF compliance methodology section pending Sheila feedback.,In Progress,High,t.bello@telecorpng.com,sheila.stokes@Finthesiss.ai,30006,8,2026-09-22T10:00:00+01:00,2026-10-03T14:00:00+01:00
jissue_0002,FCBD-118,FCBD,Bug,BBU-7600 firmware crash on cold start,Reproduced in lab. Linked to vendor ticket NRFW-118. Firmware patch targeting Oct 16 GA per Tachyon.,In Progress,High,c.eze@telecorpng.com,sheila.stokes@Finthesiss.ai,30006,5,2026-09-26T11:00:00+01:00,2026-10-02T16:00:00+01:00
jissue_0003,FCBD-124,FCBD,Task,NCC Form 7B technical exhibits - pull final coverage maps,Sheila pulling final coverage maps. Owner is Sheila. Due before filing window.,To Do,Highest,sheila.stokes@Finthesiss.ai,f.musa@telecorpng.com,30006,3,2026-09-29T15:00:00+01:00,2026-10-04T11:00:00+01:00
jissue_0004,FCBD-127,FCBD,Task,Vendor digest follow-up - week 40,Standing follow-up on the Tachyon weekly digest items - see vendor channel for live status. Logistics queries open with the customs broker; nothing actionable yet on the Sheila-side.,Triage,Medium,sheila.stokes@Finthesiss.ai,a.obi@telecorpng.com,30006,2,2026-10-04T03:30:00+01:00,2026-10-04T03:30:00+01:00
jissue_0005,FCBD-110,FCBD,Story,NCC pre-hearing brief - 5 agenda items,Brief covering all 5 NCC hearing agenda items. Sheila presenting Mon Oct 5 10:00.,In Review,Highest,sheila.stokes@Finthesiss.ai,b.olatunji@telecorpng.com,30006,5,2026-09-25T09:00:00+01:00,2026-10-03T18:00:00+01:00
jissue_0006,FCBD-111,FCBD,Task,Confluence Filing Plan v3 sign-off,Filing plan v3 ready. Per v3 the filing window is 16:00 post-hearing.,Done,Medium,b.olatunji@telecorpng.com,b.olatunji@telecorpng.com,30006,1,2026-09-25T11:00:00+01:00,2026-09-26T10:00:00+01:00
jissue_0007,FCBD-112,FCBD,Task,Dry run dialogue script for the hearing,Q&A dry run dialogue across all 5 agenda items.,Done,High,f.musa@telecorpng.com,sheila.stokes@Finthesiss.ai,30006,2,2026-09-27T14:00:00+01:00,2026-10-01T16:00:00+01:00
jissue_0008,FCBD-113,FCBD,Bug,EMF compliance attestation - measurement methodology gap,FCBD-101 section 4.2 missing EMF measurement methodology - Sheila to draft.,In Progress,Medium,sheila.stokes@Finthesiss.ai,t.bello@telecorpng.com,30006,3,2026-09-29T12:00:00+01:00,2026-10-03T15:00:00+01:00
jissue_0009,NSW-247,NSW,Story,PHASE1-S07 acquisition closure paperwork,Acquisition paperwork closeout for NSW-PHASE1-S07. Linked to airtable Nasarawa site tracker.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,3,2026-09-21T11:00:00+01:00,2026-10-03T22:00:00+01:00
jissue_0010,NSW-251,NSW,Bug,PHASE1-S03 community objection - traditional leader engagement,Community lead: Chief Musa Adamu. Site status: community objection. Engagement pending.,In Progress,High,c.ndukwe@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,5,2026-09-22T15:00:00+01:00,2026-10-02T15:30:00+01:00
jissue_0011,NSW-258,NSW,Task,Phase 1 milestone window adjustment - vendor consultation update Oct 2,Per Friday Oct 2 status update from field acquisition lead - 3 sites in Lafia LGA need extended community consultation; milestone window adjustment under review for the project tracker.,In Progress,High,i.okeke@telecorpng.com,i.okeke@telecorpng.com,30003,2,2026-10-02T17:45:00+01:00,2026-10-02T17:45:00+01:00
jissue_0012,NSW-240,NSW,Task,PHASE1-S01 acquisition closure,Auto-context: PHASE1-S01 acquisition closure.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,2,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0013,NSW-241,NSW,Task,PHASE1-S02 acquisition closure,Auto-context: PHASE1-S02 acquisition closure.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,2,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0014,NSW-242,NSW,Task,PHASE1-S04 acquisition closure,Auto-context: PHASE1-S04 acquisition closure.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,2,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
