pin_id,board_id,board_section_id,title,description,link,media_type,created_at,updated_at,dominant_color,alt_text,is_promoted,pin_metrics_impressions,pin_metrics_saves,pin_metrics_clicks
pin-QC-001,board-QC-01,,Rose Gold Balloon Arch Tutorial,Step-by-step guide to building a stunning rose gold balloon arch for a quinceanera entrance. Includes supply list and sizing tips. #quinceaneradecor #balloonarch #rosegold,https://www.pinterest.com/pin/example001,image,2026-07-15T10:00:00,2026-09-20T14:00:00,#C9A96E,Rose gold balloon arch framing a decorated entrance doorway,false,8420,612,344
pin-QC-002,board-QC-01,,Lavender and Gold Centerpiece Ideas,Tall floral centerpieces with lavender roses and gold candelabras. Perfect for a formal quinceanera reception. #centerpiece #quinceaneraflowers #lavender,https://www.pinterest.com/pin/example002,image,2026-06-22T09:30:00,2026-09-18T11:00:00,#9B7BB5,Tall gold candelabra centerpiece with lavender and white roses on a round table,false,6310,489,201
pin-QC-003,board-QC-01,,Dusty Blue Color Palette Inspiration,Dusty blue and silver quinceanera color palette with fabric swatches and floral samples. Elegant and modern. #colorpalette #dustyblue #quinceaneracolors,https://www.pinterest.com/pin/example003,image,2026-05-10T14:00:00,2026-08-30T09:00:00,#7BA7BC,Color palette board showing dusty blue silver and ivory fabric swatches,false,5180,377,188
pin-QC-004,board-QC-01,section-QC-A,DIY Tulle Table Skirt for Sweetheart Table,How to make a layered tulle table skirt for the sweetheart table. Budget-friendly and customizable to any color. #DIYdecor #tulleskirt #sweethearttable,https://www.pinterest.com/pin/example004,image,2026-04-18T11:00:00,2026-09-05T16:00:00,#F5E6F0,Layered pink and white tulle table skirt on a rectangular sweetheart table,false,4920,401,215
pin-QC-005,board-QC-01,section-QC-A,Floral Crown Styles for the Quinceanera,Comparison of floral crown styles from minimalist greenery to full bloom. Tips on choosing the right style for your dress neckline. #floralcrown #quinceanerahair,https://www.pinterest.com/pin/example005,image,2026-03-25T08:00:00,2026-08-12T10:00:00,#D4A5A5,Three floral crown styles displayed on mannequin heads with varying bloom sizes,false,7480,558,290
pin-QC-006,board-QC-02,,Candle Centerpiece with Mirror Base,Low centerpiece using pillar candles and votive holders on a round mirror base. Great for budget-conscious planners. #candlecenterpiece #mirrorbase #quinceaneradecor,https://www.pinterest.com/pin/example006,image,2026-07-08T15:00:00,2026-09-22T13:00:00,#F0E6D3,Pillar candles and votives arranged on a circular mirror centerpiece base,false,3890,298,142
pin-QC-007,board-QC-02,,Backdrop Ideas for Photo Booth,"Five backdrop ideas for a quinceanera photo booth: sequin curtain, flower wall, balloon mosaic, neon sign, and fabric drape. #photobooth #backdrop #quinceaneraphoto",https://www.pinterest.com/pin/example007,image,2026-06-14T12:00:00,2026-09-10T08:00:00,#E8C4D8,Collage of five different photo booth backdrop styles for quinceanera events,false,9120,703,388
pin-QC-008,board-QC-02,section-QC-B,Escort Card Display Ideas,"Creative escort card display ideas including a floral wall with hanging tags, a mirror with calligraphy, and a seating chart board. #escortcards #seatingchart",https://www.pinterest.com/pin/example008,image,2026-05-30T10:00:00,2026-08-25T14:00:00,#C8B8A2,Floral wall with hanging escort card tags in gold frames,false,4560,334,178
pin-QC-009,board-QC-02,section-QC-B,Cake Table Styling Inspiration,"Styling ideas for the quinceanera cake table including draping, florals, and tiered display stands. #caketable #quinceaneracake #tablestyle",https://www.pinterest.com/pin/example009,image,2026-04-05T09:00:00,2026-07-30T11:00:00,#F2D9E8,Decorated cake table with draped fabric floral accents and tiered cake stand,false,6780,521,267
pin-QC-010,board-QC-03,,Uplighting Color Guide for Ballrooms,"Guide to choosing uplighting colors for a ballroom quinceanera. Includes warm white, blush pink, royal purple, and teal options with photos. #uplighting #ballroomdecor",https://www.pinterest.com/pin/example010,image,2026-08-02T14:00:00,2026-09-28T10:00:00,#6B4FA0,Ballroom interior showing four different uplighting color options side by side,false,5340,412,223
pin-QC-011,board-QC-03,,Favor Box Ideas Under $3 Each,"Twelve favor box ideas that cost under three dollars each. Includes tulle bags, mini candles, seed packets, and custom cookies. #favors #quinceanerafavors #budget",https://www.pinterest.com/pin/example011,image,2026-07-20T11:00:00,2026-09-15T09:00:00,#E8D5C4,Flat lay of twelve different quinceanera favor box styles on a white background,false,7210,589,312
pin-QC-012,board-QC-03,,Entrance Grand March Choreography Tips,"Tips for planning the grand march entrance including spacing, music timing, and court formation ideas. #grandmarch #quinceanerachoreography #entrance",https://www.pinterest.com/pin/example012,image,2026-06-01T08:00:00,2026-09-02T12:00:00,#4A7C9E,Diagram showing court formation positions for a quinceanera grand march entrance,false,4890,378,196
