pin_id,board_id,board_section_id,title,description,link,media_type,created_at,updated_at,dominant_color,alt_text,is_promoted,pin_metrics_impressions,pin_metrics_saves,pin_metrics_clicks
pin_study_001,brd_study_corner,sec_study_lighting,Adjustable desk lamp soft white,Warm desk lamp idea for evening homework.,https://example-decor.com/lamp-warm,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Adjustable desk lamp soft white,false,2400,18,4
pin_study_002,brd_study_corner,sec_study_lighting,Bookshelf accent strip lights,Subtle accent lighting behind shelving.,https://example-decor.com/strip-warm,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Bookshelf accent strip lights,false,2100,14,3
pin_study_003,brd_study_corner,sec_study_lighting,Pendant over study desk,Pendant lamp over a single desk.,https://example-decor.com/pendant-single,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Pendant over study desk,false,1800,11,2
pin_study_004,brd_study_corner,sec_study_desks,Solid wood study desk small,Compact solid wood desk for a small room.,https://example-decor.com/desk-compact,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Solid wood study desk small,false,3200,22,6
pin_study_005,brd_study_corner,sec_study_desks,Ergonomic kids chair primary,Ergonomic primary schooler chair.,https://example-decor.com/chair-primary,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Ergonomic kids chair primary,false,2800,19,5
pin_study_006,brd_study_corner,sec_study_desks,Standing desk converter low height,Standing desk converter for kids.,https://example-decor.com/desk-stand-low,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Standing desk converter low height,false,1600,10,2
pin_study_007,brd_study_corner,sec_study_shelving,Modular cube shelving,Modular cube shelves for books and bins.,https://example-decor.com/cube-modular,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Modular cube shelving,false,2100,16,3
pin_study_008,brd_study_corner,sec_study_shelving,Floating shelves natural wood,Floating shelves above the desk.,https://example-decor.com/floating-natural,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Floating shelves natural wood,false,1900,13,3
pin_study_009,brd_study_corner,sec_study_palette,Sage green and cream palette,Calm sage green and cream palette study room.,https://example-decor.com/palette-sage,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Sage green and cream palette,false,3500,26,7
pin_study_010,brd_study_corner,sec_study_palette,Soft terracotta accents,Soft terracotta accents on a sage room.,https://example-decor.com/palette-terracotta,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Soft terracotta accents,false,1700,11,2
pin_study_011,brd_study_corner,sec_study_palette,Cream walls warm wood,Cream walls with warm wood and brass.,https://example-decor.com/palette-cream,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Cream walls warm wood,false,2200,15,3
pin_study_012,brd_study_corner,sec_study_palette,Muted blue accent wall,Muted blue accent wall behind a desk.,https://example-decor.com/palette-blue,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Muted blue accent wall,false,1500,9,2
pin_garden_001,brd_balcony_garden,sec_garden_herbs,Herb wall basil mint coriander,Compact herb wall for an Abuja balcony.,https://example-garden.com/herb-wall-tropical,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Herb wall basil mint coriander,false,4200,31,8
pin_garden_002,brd_balcony_garden,sec_garden_herbs,Hanging strawberry planter,Hanging strawberry planter for partial shade.,https://example-garden.com/strawberry-hang,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Hanging strawberry planter,false,2300,16,4
pin_garden_003,brd_balcony_garden,sec_garden_tomatoes,Cherry tomato trough deep,Deep trough for cherry tomatoes.,https://example-garden.com/tomato-trough,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Cherry tomato trough deep,false,2800,21,5
pin_garden_004,brd_balcony_garden,sec_garden_tomatoes,Beefsteak tomato stake setup,Staking idea for balcony beefsteaks.,https://example-garden.com/tomato-stake,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Beefsteak tomato stake setup,false,1900,14,3
