invoice_id,invoice_number,type,contact_id,contact_name,date,due_date,status,line_amount_types,sub_total,total_tax,total,amount_due,amount_paid,currency_code,reference
i0000001-0000-0000-0000-000000000001,INV-3201,ACCREC,c0000001-0000-0000-0000-000000000001,Brasserie Flagey,2026-10-03,2026-10-31,AUTHORISED,Exclusive,465.00,46.50,511.50,511.50,0.00,EUR,Wholesale October wk1
i0000002-0000-0000-0000-000000000002,INV-3202,ACCREC,c0000002-0000-0000-0000-000000000002,Hotel des Galeries,2026-10-04,2026-11-03,PAID,Exclusive,354.45,35.45,389.90,0.00,389.90,EUR,Petit fours order
i0000003-0000-0000-0000-000000000003,INV-3203,ACCPAY,c0000003-0000-0000-0000-000000000003,Cafe Maison,2026-10-01,2026-10-15,AUTHORISED,Exclusive,201.27,20.13,221.40,221.40,0.00,EUR,Viennoiserie supply
i0000004-0000-0000-0000-000000000004,INV-3204,ACCREC,c0000004-0000-0000-0000-000000000004,Le Phare du Kanaal,2026-10-02,2026-11-01,AUTHORISED,Exclusive,612.73,61.27,674.00,674.00,0.00,EUR,Dessert program
i0000005-0000-0000-0000-000000000005,INV-3205,ACCREC,c0000005-0000-0000-0000-000000000005,Maison Blanche Events,2026-09-29,2026-10-29,PAID,Exclusive,289.09,28.91,318.00,0.00,318.00,EUR,Corporate platter
i0000006-0000-0000-0000-000000000006,INV-3206,ACCREC,c0000006-0000-0000-0000-000000000006,The Avenue Bistro,2026-10-05,2026-11-04,AUTHORISED,Exclusive,520.00,52.00,572.00,572.00,0.00,EUR,Weekly tart supply
i0000007-0000-0000-0000-000000000007,INV-3207,ACCREC,c0000007-0000-0000-0000-000000000007,Galerie Cafe,2026-10-06,2026-11-05,DRAFT,Exclusive,149.09,14.91,164.00,164.00,0.00,EUR,Trial order
i0000008-0000-0000-0000-000000000008,INV-3208,ACCPAY,c0000008-0000-0000-0000-000000000008,Sucres et Decors,2026-09-30,2026-10-14,PAID,Exclusive,95.45,9.55,105.00,0.00,105.00,EUR,Decoration supply
i0000009-0000-0000-0000-000000000009,INV-3209,ACCREC,c0000009-0000-0000-0000-000000000009,Brasserie du Parc,2026-10-04,2026-11-03,AUTHORISED,Exclusive,430.00,43.00,473.00,473.00,0.00,EUR,Plated dessert
i0000010-0000-0000-0000-000000000010,INV-3210,ACCREC,c0000010-0000-0000-0000-000000000010,Cafe Lumiere,2026-10-07,2026-11-06,AUTHORISED,Exclusive,238.18,23.82,262.00,262.00,0.00,EUR,Macaron order
i0000011-0000-0000-0000-000000000011,INV-3211,ACCREC,c0000011-0000-0000-0000-000000000011,Hotel Metropole,2026-10-03,2026-11-02,PAID,Exclusive,709.09,70.91,780.00,0.00,780.00,EUR,Banquet desserts
i0000012-0000-0000-0000-000000000012,INV-3212,ACCPAY,c0000012-0000-0000-0000-000000000012,Embal Express,2026-10-02,2026-10-16,AUTHORISED,Exclusive,72.73,7.27,80.00,80.00,0.00,EUR,Box supply
i0000013-0000-0000-0000-000000000013,INV-3213,ACCREC,c0000013-0000-0000-0000-000000000013,Bistro Saint-Boniface,2026-10-05,2026-11-04,AUTHORISED,Exclusive,356.36,35.64,392.00,392.00,0.00,EUR,Weekly supply
i0000014-0000-0000-0000-000000000014,INV-3214,ACCREC,c0000014-0000-0000-0000-000000000014,Cafe des Arts,2026-10-06,2026-11-05,AUTHORISED,Exclusive,181.82,18.18,200.00,200.00,0.00,EUR,Petit gateau
i0000015-0000-0000-0000-000000000015,INV-3215,ACCREC,c0000015-0000-0000-0000-000000000015,Le Comptoir Sucre,2026-10-01,2026-10-31,PAID,Exclusive,263.64,26.36,290.00,0.00,290.00,EUR,Eclair order
