id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk_0001,pg_quarterly_q4_2026,,paragraph,Q4 2026 Theme: Land what you said you would land. 5G CBD launch is the year-defining deliverable; everything else either supports it or holds its line.,1,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0002,pg_quarterly_q4_2026,,paragraph,Top objectives: (1) Successful NCC spectrum hearing and filing Mon Oct 5. (2) Nasarawa Phase 1 milestone close. (3) 5G CBD pilot equipment delivery and acceptance test ready Oct 19. (4) Q4 mentorship cadence held - Yetunde + 2 others.,2,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0003,pg_quarterly_q4_2026,,paragraph,Personal: ComTech Summit Dec 1 talk locked. Executive program application drafted before year-end. Lagos visit Oct 24-28.,3,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0004,pg_quarterly_q4_2026,,paragraph,Non-goals: optimize Phase 2 community engagement before Phase 1 lands. Add new vendors. Take on new mentees.,4,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0005,pg_quarterly_q4_2026,,paragraph,Watch-out: backlog stacking on weekends - protect Sun review or the week starts compromised.,5,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0006,pg_mentorship_yetunde,,paragraph,"Yetunde is on a Senior promotion pathway by mid-2027. Q4 2026 goals: first conference paper draft (Q4 2026), deeper capacity planning rotation (Q1 2027), regulatory exposure (Q2 2027).",6,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0007,pg_mentorship_yetunde,,paragraph,Sep 22 2026 session - covered: NCC interaction etiquette; capacity model intuition; the Niger State QoS dashboard as a case study; conference abstract draft.,7,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0008,pg_mentorship_yetunde,,paragraph,Carry-over for Oct 6 2026: conference abstract feedback; Q4 promotion case prep; regulatory rotation pathway discussion.,8,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0009,pg_mentorship_yetunde,,paragraph,Reading: Sheila's LinkedIn article series; ITU-R working party 5D note; 3GPP Release 18 capacity planning notes.,9,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0010,pg_mentorship_yetunde,,paragraph,Quiet observation: She lights up when she sees a clean signal-to-noise ratio in a model. That is the engineering instinct that will outlast any title. Lean into it.,10,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0011,pg_mentorship_network,,paragraph,Informal mentorship network for younger women in Nigerian telecom engineering. 8 members at end of 2026.,11,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0012,pg_mentorship_network,,paragraph,Cadence: monthly for most; bi-weekly for Yetunde (primary); quarterly for those still finding their feet.,12,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0013,pg_mentorship_network,,paragraph,"Format: small group meet quarterly (October, December venue), 1:1 monthly. Reading list shared via this workspace.",13,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0014,pg_mentorship_network,,paragraph,Outcomes to track: promotion velocity; conference output; cross-team rotation participation; retention in the industry.,14,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0015,pg_executive_program,,paragraph,Target: Lagos Metropolitan University Executive Program in Tech Management. 18-month part-time format.,15,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0016,pg_executive_program,,paragraph,Why: Bridge engineering depth with strategic management before the next career inflection.,16,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
blk_0017,pg_executive_program,,paragraph,"Pre-reqs: 10+ years experience, two recommendation letters, GMAT (optional waiver for senior engineers).",17,2026-09-30T19:00:00+01:00,2026-10-02T21:00:00+01:00,false,false
